Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Koutetsujou no Kabaneri,2016,7.27,Finished,12,"['Action', 'Fantasy', 'Horror', 'Suspense']",Original
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",2015,7.68,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
High School DxD BorN,2015,7.42,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
InuYasha,2000,7.86,Finished,167,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",2020,7.36,Finished,13,"['Action', 'Fantasy']",Light novel
Owari no Seraph: Nagoya Kessen-hen,2015,7.62,Finished,12,"['Action', 'Drama', 'Fantasy']",Manga
Kimetsu no Yaiba: Katanakaji no Sato-hen,2023,8.26,Finished,11,"['Action', 'Fantasy']",Manga
Enen no Shouboutai: Ni no Shou,2020,7.81,Finished,24,"['Action', 'Fantasy', 'Sci-Fi']",Manga
Ao no Exorcist: Kyoto Fujouou-hen,2017,7.35,Finished,12,"['Action', 'Fantasy']",Manga
86,2021,8.29,Finished,11,"['Action', 'Drama', 'Sci-Fi']",Light novel
K,2012,7.43,Finished,13,"['Action', 'Fantasy', 'Mystery']",Original
Trigun,1998,8.22,Finished,26,"['Action', 'Adventure', 'Sci-Fi']",Manga
Sword Art Online: Alicization - War of Underworld,2019,7.58,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
Tate no Yuusha no Nariagari Season 2,2022,6.53,Finished,13,"['Action', 'Adventure', 'Drama', 'Fantasy']",Source
Tensei shitara Slime Datta Ken 2nd Season Part 2,2021,8.33,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Boku no Hero Academia the Movie 1: Futari no Hero,2018,7.54,Finished,1,['Action'],Manga
Kimetsu no Yaiba: Mugen Ressha-hen,2021,8.37,Finished,7,"['Action', 'Fantasy']",Manga
Hai to Gensou no Grimgar,2016,7.65,Finished,12,"['Action', 'Adventure', 'Drama', 'Fantasy']",Light novel
Rokudenashi Majutsu Koushi to Akashic Records,2017,7.13,Finished,12,"['Action', 'Fantasy']",Light novel
Sword Art Online Movie: Ordinal Scale,2017,7.56,Finished,1,"['Action', 'Adventure', 'Fantasy']",Original
Nanatsu no Taizai: Kamigami no Gekirin,2019,6.46,Finished,24,"['Action', 'Adventure', 'Fantasy']",Manga
Hellsing,2001,7.49,Finished,13,"['Action', 'Horror', 'Supernatural']",Manga
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,2018,6.85,Finished,12,"['Action', 'Fantasy', 'Ecchi']",Light novel
91 Days,2016,7.83,Finished,12,"['Action', 'Drama']",Original
Cyberpunk: Edgerunners,2022,8.6,Finished,10,"['Action', 'Sci-Fi']",Game
Nanatsu no Taizai: Seisen no Shirushi,2016,6.97,Finished,4,"['Action', 'Adventure', 'Fantasy']",Manga
Accel World,2012,7.22,Finished,24,"['Action', 'Romance', 'Sci-Fi']",Light novel
Arifureta Shokugyou de Sekai Saikyou,2019,6.71,Finished,13,"['Action', 'Adventure', 'Fantasy']",Source
D.Gray-man,2006,8.01,Finished,103,"['Action', 'Adventure', 'Fantasy']",Manga
Blood Lad,2013,7.25,Finished,10,"['Action', 'Comedy', 'Fantasy']",Manga
Yuu☆Yuu☆Hakusho,1992,8.46,Finished,112,"['Action', 'Fantasy']",Manga
Shinmai Maou no Testament,2015,6.7,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Claymore,2007,7.74,Finished,26,"['Action', 'Adventure', 'Fantasy']",Manga
Gakusen Toshi Asterisk,2015,6.81,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
