Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Zero no Tsukaima: Futatsuki no Kishi,2007,7.4,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Yosuga no Sora,2010,6.05,Finished,12,"['Drama', 'Romance', 'Ecchi']",Visual novel
Rurouni Kenshin: Meiji Kenkaku Romantan,1996,8.29,Finished,94,"['Action', 'Comedy', 'Romance']",Source
Mayo Chiki!,2011,7.22,Finished,13,"['Comedy', 'Romance', 'Ecchi']",Light novel
Ookami to Koushinryou II,2009,8.31,Finished,12,"['Adventure', 'Fantasy', 'Romance']",Source
Tokyo Ravens,2013,7.42,Finished,24,"['Action', 'Fantasy', 'Romance']",Light novel
Tenkuu no Shiro Laputa,1986,8.26,Finished,1,"['Adventure', 'Award Winning', 'Fantasy', 'Romance', 'Sci-Fi']",Original
Maoyuu Maou Yuusha,2013,7.23,Finished,12,"['Adventure', 'Fantasy', 'Romance']",Light novel
Chobits,2002,7.4,Finished,26,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Kimi ni Todoke 2nd Season,2011,7.98,Finished,12,"['Drama', 'Romance']",Manga
Sora no Otoshimono,2009,7.24,Finished,13,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Kyokou Suiri,2020,6.92,Finished,12,"['Mystery', 'Romance', 'Supernatural']",Manga
Ookami Shoujo to Kuro Ouji,2014,7.03,Finished,12,"['Comedy', 'Romance']",Manga
Fruits Basket: The Final,2021,8.98,Finished,13,"['Drama', 'Romance', 'Supernatural']",Manga
Net-juu no Susume,2017,7.54,Finished,10,"['Comedy', 'Romance']",Web manga
Ore wo Suki nano wa Omae dake ka yo,2019,7.31,Finished,12,"['Comedy', 'Romance']",Light novel
Kaze no Stigma,2007,7.17,Finished,24,"['Action', 'Fantasy', 'Romance']",Light novel
Watashi ga Motete Dousunda,2016,6.96,Finished,12,"['Comedy', 'Romance']",Manga
Hentai Ouji to Warawanai Neko.,2013,7.15,Finished,12,"['Comedy', 'Romance', 'Supernatural']",Light novel
Yojouhan Shinwa Taikei,2010,8.56,Finished,11,"['Award Winning', 'Comedy', 'Mystery', 'Romance']",Novel
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,2020,7.46,Finished,12,"['Comedy', 'Fantasy', 'Romance']",Light novel
Zero no Tsukaima: Princesses no Rondo,2008,7.32,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Bokutachi wa Benkyou ga Dekinai,2019,7.27,Finished,13,"['Comedy', 'Romance']",Source
Cardcaptor Sakura,1998,8.17,Finished,70,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",Manga
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,2013,6.91,Finished,13,"['Comedy', 'Romance']",Light novel
Koukyoushihen Eureka Seven,2005,8.05,Finished,50,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",Original
Gakusen Toshi Asterisk 2nd Season,2016,6.99,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
Nakitai Watashi wa Neko wo Kaburu,2020,7.34,Finished,1,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",Original
Plunderer,2020,6.63,Finished,24,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Manga
Zero no Tsukaima F,2012,7.43,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
