Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Psycho-Pass 3: First Inspector,2020,7.79,Finished,3,"['Action', 'Mystery', 'Sci-Fi']",Original
The Big O,1999,7.53,Finished,26,"['Action', 'Mystery', 'Sci-Fi']",Original
Pet,2020,6.44,Finished,13,"['Mystery', 'Supernatural', 'Suspense']",Manga
Persona 4 the Golden Animation,2014,6.62,Finished,12,"['Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']",Game
HaruChika: Haruta to Chika wa Seishun suru,2016,6.33,Finished,12,"['Mystery', 'Romance']",Novel
Concrete Revolutio: Choujin Gensou,2015,6.65,Finished,13,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Original
Penguin Highway,2018,7.55,Finished,1,"['Fantasy', 'Mystery', 'Sci-Fi']",Novel
Higurashi no Naku Koro ni Kira,2011,6.54,Finished,4,['Mystery'],Original
Koukyuu no Karasu,2022,7.53,Finished,13,"['Fantasy', 'Mystery']",Light novel
Kabukichou Sherlock,2019,6.89,Finished,24,"['Comedy', 'Drama', 'Mystery']",Original
Persona: Trinity Soul,2008,6.51,Finished,26,"['Action', 'Mystery', 'Sci-Fi', 'Supernatural']",Original
X,2001,7.39,Finished,24,"['Action', 'Drama', 'Fantasy', 'Mystery']",Manga
City Hunter,1987,7.91,Finished,51,"['Action', 'Comedy', 'Mystery']",Manga
Tasogare Otome x Amnesia: Taima Otome,2012,7.49,Finished,1,"['Horror', 'Mystery', 'Romance', 'Supernatural']",Manga
Mo Dao Zu Shi: Wanjie Pian,2021,8.46,Finished,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Web novel
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,2007,7.14,Finished,1,['Mystery'],Light novel
Meitantei Conan Movie 06: Baker Street no Bourei,2002,8.3,Finished,1,"['Adventure', 'Mystery']",Manga
Kai Byoui Ramune,2021,7.15,Finished,12,"['Mystery', 'Supernatural']",Manga
Ayakashi: Japanese Classic Horror,2006,7.38,Finished,11,"['Horror', 'Mystery', 'Supernatural']",Other
Revenger,2023,6.67,Finished,12,"['Action', 'Drama', 'Mystery']",Original
Ibara no Ou,2009,6.87,Finished,1,"['Action', 'Horror', 'Mystery', 'Sci-Fi']",Manga
Wu Liuqi: Zui Qiang Fa Xing Shi,2019,8.14,Finished,10,"['Action', 'Comedy', 'Drama', 'Mystery']",Original
Ookamikakushi,2010,6.3,Finished,12,"['Action', 'Horror', 'Mystery', 'Supernatural']",Visual novel
Juu Ou Sei,2006,7.2,Finished,11,"['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi']",Manga
Meitantei Conan Movie 01: Tokei Jikake no Matenrou,1997,7.86,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Shiki Specials,2011,7.75,Finished,2,"['Horror', 'Mystery', 'Supernatural']",Manga
